keyword,score,freq,combined_score
babiiiiiiii,1.0,1,0.6931471805599453
ueee,1.0,1,0.6931471805599453
pbagus,1.0,1,0.6931471805599453
dancok,1.0,1,0.6931471805599453
okelaah,1.0,1,0.6931471805599453
okok,1.0,1,0.6931471805599453
oklah,1.0,1,0.6931471805599453
oookeee,1.0,1,0.6931471805599453
jelekkkk,1.0,1,0.6931471805599453
hdi,1.0,1,0.6931471805599453
wwellllll,1.0,1,0.6931471805599453
easy,1.0,1,0.6931471805599453
effort,1.0,1,0.6931471805599453
muas,1.0,1,0.6931471805599453
muantapppp,1.0,1,0.6931471805599453
muantappp,1.0,1,0.6931471805599453
asyiiik,1.0,1,0.6931471805599453
hiburanterimakasih,1.0,1,0.6931471805599453
asikkkkkkkkk,1.0,1,0.6931471805599453
tolloll,1.0,1,0.6931471805599453
topp,1.0,1,0.6931471805599453
ton,1.0,1,0.6931471805599453
trimakasih,1.0,1,0.6931471805599453
tulis,1.0,1,0.6931471805599453
paja,1.0,1,0.6931471805599453
konco,1.0,1,0.6931471805599453
kon,1.0,1,0.6931471805599453
kontol,1.0,1,0.6931471805599453
kesan,1.0,1,0.6931471805599453
menghibir,1.0,1,0.6931471805599453
mengasikakn,1.0,1,0.6931471805599453
kontlllll,1.0,1,0.6931471805599453
kontllll,1.0,1,0.6931471805599453
hai,1.0,1,0.6931471805599453
hanjing,1.0,1,0.6931471805599453
kontrol,1.0,1,0.6931471805599453
kontooooi,1.0,1,0.6931471805599453
iya,1.0,1,0.6931471805599453
goodd,1.0,1,0.6931471805599453
ayu,1.0,1,0.6931471805599453
bae,1.0,1,0.6931471805599453
badus,1.0,1,0.6931471805599453
babj,1.0,1,0.6931471805599453
baus,1.0,1,0.6931471805599453
bagusbanget,1.0,1,0.6931471805599453
bagua,1.0,1,0.6931471805599453
ti,1.0,1,0.6931471805599453
anjengg,1.0,1,0.6931471805599453
anjying,1.0,1,0.6931471805599453
wuhu,1.0,1,0.6931471805599453
yeaaaahhhhh,1.0,1,0.6931471805599453
yayayayyayayayaayyay,1.0,1,0.6931471805599453
wew,1.0,1,0.6931471805599453
wellplayed,1.0,1,0.6931471805599453
ajing,1.0,1,0.6931471805599453
mantaps,1.0,1,0.6931471805599453
yoi,1.0,1,0.6931471805599453
yeyyyy,1.0,1,0.6931471805599453
yerbaik,1.0,1,0.6931471805599453
jeleklamamempersulit,1.0,1,0.6931471805599453
uka,1.0,1,0.6931471805599453
mantaapp,1.0,1,0.6931471805599453
mantaap,1.0,1,0.6931471805599453
mantaaaaaf,1.0,1,0.6931471805599453
mantaaaaaap,1.0,1,0.6931471805599453
ajimg,1.0,1,0.6931471805599453
mantaq,1.0,1,0.6931471805599453
smpah,1.0,1,0.6931471805599453
makna,1.0,1,0.6931471805599453
manatp,1.0,1,0.6931471805599453
manarik,1.0,1,0.6931471805599453
sipppp,1.0,1,0.6931471805599453
okela,1.0,1,0.6931471805599453
okehh,1.0,1,0.6931471805599453
gimang,1.0,1,0.6931471805599453
jooosss,1.0,1,0.6931471805599453
ubdate,1.0,1,0.6931471805599453
kicik,1.0,1,0.6931471805599453
anjayyyyy,1.0,1,0.6931471805599453
ngeunah,1.0,1,0.6931471805599453
wokeyasik,1.0,1,0.6931471805599453
ipo,1.0,1,0.6931471805599453
uwapik,1.0,1,0.6931471805599453
gblk,1.0,1,0.6931471805599453
seruuuuuuuu,1.0,1,0.6931471805599453
seruuuuuuu,1.0,1,0.6931471805599453
sesal,1.0,1,0.6931471805599453
mangtap,1.0,1,0.6931471805599453
mantapsssss,1.0,1,0.6931471805599453
mantapss,1.0,1,0.6931471805599453
gakseru,1.0,1,0.6931471805599453
seu,1.0,1,0.6931471805599453
mantav,1.0,1,0.6931471805599453
biyasaaaaaa,1.0,1,0.6931471805599453
bobrok,1.0,1,0.6931471805599453
mantppp,1.0,1,0.6931471805599453
gehe,1.0,1,0.6931471805599453
geminiserubanget,1.0,1,0.6931471805599453
geming,1.0,1,0.6931471805599453
mahices,1.0,1,0.6931471805599453
mantepppp,1.0,1,0.6931471805599453
mantb,1.0,1,0.6931471805599453
blacsecren,1.0,1,0.6931471805599453
kelassss,1.0,1,0.6931471805599453
antappp,1.0,1,0.6931471805599453
apikmenarik,1.0,1,0.6931471805599453
resah,1.0,1,0.6931471805599453
mantaappp,1.0,1,0.6931471805599453
percaya,1.0,1,0.6931471805599453
oon,1.0,1,0.6931471805599453
okeeeeeeeeeeee,1.0,1,0.6931471805599453
anjj,1.0,1,0.6931471805599453
okeee,1.0,1,0.6931471805599453
okla,1.0,1,0.6931471805599453
okkkkkkkkk,1.0,1,0.6931471805599453
okkkkkkkk,1.0,1,0.6931471805599453
okkk,1.0,1,0.6931471805599453
okesi,1.0,1,0.6931471805599453
kelasss,1.0,1,0.6931471805599453
kembaikan,1.0,1,0.6931471805599453
okeeee,1.0,1,0.6931471805599453
alay,1.0,1,0.6931471805599453
adiktif,1.0,1,0.6931471805599453
wort,1.0,1,0.6931471805599453
aasikk,1.0,1,0.6931471805599453
jossman,1.0,1,0.6931471805599453
jooossss,1.0,1,0.6931471805599453
kampret,1.0,1,0.6931471805599453
katamembosankan,1.0,1,0.6931471805599453
horeee,1.0,1,0.6931471805599453
ilham,1.0,1,0.6931471805599453
wowo,1.0,1,0.6931471805599453
woke,1.0,1,0.6931471805599453
anjng,1.0,1,0.6931471805599453
anjjing,1.0,1,0.6931471805599453
kereeeeennnnnn,1.0,1,0.6931471805599453
zonk,1.0,1,0.6931471805599453
huh,1.0,1,0.6931471805599453
hot,1.0,1,0.6931471805599453
juossss,1.0,1,0.6931471805599453
peyimpanan,1.0,1,0.6931471805599453
cog,1.0,1,0.6931471805599453
nyusahke,1.0,1,0.6931471805599453
okayy,1.0,1,0.6931471805599453
okay,1.0,1,0.6931471805599453
ngntd,1.0,1,0.6931471805599453
dongokk,1.0,1,0.6931471805599453
niceeee,1.0,1,0.6931471805599453
seruuuuuuuuuu,1.0,1,0.6931471805599453
rusakk,1.0,1,0.6931471805599453
sad,1.0,1,0.6931471805599453
comenderna,1.0,1,0.6931471805599453
nongkrong,1.0,1,0.6931471805599453
nipu,1.0,1,0.6931471805599453
point,1.0,1,0.6931471805599453
pntq,1.0,1,0.6931471805599453
praktis,1.0,1,0.6931471805599453
rusakkk,1.0,1,0.6931471805599453
gemyabagus,1.0,1,0.6931471805599453
kereeeennn,1.0,1,0.6931471805599453
bagut,1.0,1,0.6931471805599453
bakat,1.0,1,0.6931471805599453
baja,1.0,1,0.6931471805599453
terbaek,1.0,1,0.6931471805599453
ter,1.0,1,0.6931471805599453
tes,1.0,1,0.6931471805599453
perfec,1.0,1,0.6931471805599453
dibenet,1.0,1,0.6931471805599453
didik,1.0,1,0.6931471805599453
sugoi,1.0,1,0.6931471805599453
suantai,1.0,1,0.6931471805599453
sumantap,1.0,1,0.6931471805599453
maaaantap,1.0,1,0.6931471805599453
madep,1.0,1,0.6931471805599453
gb,1.0,1,0.6931471805599453
cool,1.0,1,0.6931471805599453
laknat,1.0,1,0.6931471805599453
mencret,1.0,1,0.6931471805599453
mengibur,1.0,1,0.6931471805599453
menghiburrrseruuu,1.0,1,0.6931471805599453
bolelah,1.0,1,0.6931471805599453
bolehh,1.0,1,0.6931471805599453
bosenin,1.0,1,0.6931471805599453
gayeng,1.0,1,0.6931471805599453
fomo,1.0,1,0.6931471805599453
prettt,1.0,1,0.6931471805599453
gacorrrrr,1.0,1,0.6931471805599453
gacorrrr,1.0,1,0.6931471805599453
gacorr,1.0,1,0.6931471805599453
sempurnaperfect,1.0,1,0.6931471805599453
menabjub,1.0,1,0.6931471805599453
mantapppppppppppppp,1.0,1,0.6931471805599453
mantappppppppp,1.0,1,0.6931471805599453
mantappppp,1.0,1,0.6931471805599453
funny,1.0,1,0.6931471805599453
buriiiiik,1.0,1,0.6931471805599453
sampahh,1.0,1,0.6931471805599453
chill,1.0,1,0.6931471805599453
gaocr,1.0,1,0.6931471805599453
gathelllllll,1.0,1,0.6931471805599453
gatheeeel,1.0,1,0.6931471805599453
